Title	Learning to Find English to Chinese Transliterations on the Web	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-blank-line above-double-space above-line-space
Author	Jian-Cheng Wu	page=0 xpos=1 ypos=0 left-column left-indent right-indent font-larger column-top line-blank-line line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
B-Affiliation	Department of Computer Science	page=0 xpos=1 ypos=1 left-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Affiliation	National Tsing Hua University	page=0 xpos=1 ypos=1 left-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	101, Kuangfu Road, Hsinchu, Taiwan	page=0 xpos=0 ypos=1 left-column left-indent right-indent font-larger hanged-line longer-tail above-line-space
Email	d928322@oz.nthu.edu.tw	page=0 xpos=1 ypos=1 left-column left-indent right-indent font-smaller indented-line shorter-tail line-space symbol-atmark headchar-lower above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We present a method for learning to find	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	English to Chinese transliterations on the	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	Web. In our approach, proper nouns are	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	expanded into new queries aimed at maxi-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mizing the probability of retrieving trans-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	literations from existing search engines.	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	The method involves learning the sublexi-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	cal relationships between names and their	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	transliterations. At run-time, a given name	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	is automatically extended into queries with	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	relevant morphemes, and transliterations in	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the returned search snippets are extracted	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and ranked. We present a new system,	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-comma
I-Abstract	TermMine, that applies the method to find	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	transliterations of a given name. Evaluation	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	on a list of 500 proper names shows that	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the method achieves high precision and re-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	call, and outperforms commercial machine	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	translation systems.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-larger hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Increasingly, short passages or web pages are be-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ing translated by desktop machine translation soft-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ware or are submitted to machine translation ser-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	vices on the Web every day. These texts usually	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	contain some proportion of proper names (e.g.,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	place and people names in “The cities of Mesopo-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tamia prospered under Parthian and Sassanian	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	rule.”), which may not be handled properly by a	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	machine translation system. Online machine trans-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lation services such as Google Translate <sup>1</sup> or Yahoo!	page=0 xpos=0 ypos=8 left-column right-over font-largest aligned-line longer-tail headchar-lower
I-Body	Babelfish <sup>2</sup> typically use a bilingual dictionary that	page=0 xpos=0 ypos=8 left-column full-justified font-largest aligned-line headchar-capital
I-Body	is either manually compiled or learned from a par-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen above-blank-line above-double-space above-line-space
B-Footnote	<sup>1</sup> Google Translate: translate.google.com/translate_t	page=0 xpos=0 ypos=9 left-column right-indent font-largest aligned-line shorter-tail line-blank-line line-double-space line-space headchar-super
I-Footnote	<sup>2</sup> Yahoo! Babelfish: babelfish.yahoo.com	page=0 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-super column-bottom
Author	Jason S. Chang	page=0 xpos=6 ypos=0 right-column left-indent right-indent font-larger column-top headchar-capital above-blank-line above-double-space above-line-space
B-Affiliation	Department of Computer Science	page=0 xpos=5 ypos=1 right-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Affiliation	National Tsing Hua University	page=0 xpos=5 ypos=1 right-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	101, Kuangfu Road, Hsinchu, Taiwan	page=0 xpos=5 ypos=1 right-column left-indent right-indent font-larger hanged-line longer-tail above-line-space
Email	jschang@cs.nthu.edu.tw	page=0 xpos=5 ypos=1 right-column left-indent right-indent font-smaller indented-line shorter-tail line-space symbol-atmark headchar-lower above-blank-line above-double-space above-line-space
I-Body	allel corpus. However, such dictionaries often have	page=0 xpos=5 ypos=2 right-column centered left-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	insufficient coverage of proper names and techni-	page=0 xpos=5 ypos=2 right-column centered left-indent aligned-line headchar-lower tailchar-hiphen
I-Body	cal terms, leading to poor translation performance	page=0 xpos=5 ypos=2 right-column centered left-indent aligned-line headchar-lower
E-Body	due to out of vocabulary (OOV) problem.	page=0 xpos=5 ypos=2 right-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Handling name transliteration is also important	page=0 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital
I-Body	for cross language information retrieval (CLIR)	page=0 xpos=5 ypos=3 right-column centered left-indent hanged-line headchar-lower
I-Body	and terminology translation (Quah 2006). There	page=0 xpos=5 ypos=3 right-column centered left-indent aligned-line year headchar-lower
I-Body	are also services on the Web specifically targeting	page=0 xpos=5 ypos=3 right-column centered left-indent aligned-line headchar-lower
I-Body	transliteration aimed at improving CLIR, including	page=0 xpos=5 ypos=3 right-column centered left-indent aligned-line headchar-lower
I-Body	CHINET (Kwok et al. 2005) and LiveTrans (Lu,	page=0 xpos=5 ypos=3 right-column centered left-indent aligned-line year headchar-capital tailchar-comma
E-Body	Chien, and Lee 2004).	page=0 xpos=5 ypos=4 right-column left-indent right-indent aligned-line shorter-tail year headchar-capital tailchar-period
B-Body	The OOV problems of machine translation (MT)	page=0 xpos=5 ypos=4 right-column left-indent indented-line longer-tail headchar-capital
I-Body	or CLIR can be handled more effectively by learn-	page=0 xpos=5 ypos=4 right-column centered left-indent hanged-line headchar-lower tailchar-hiphen
I-Body	ing to find transliteration on the Web. Consider the	page=0 xpos=5 ypos=4 right-column centered left-indent aligned-line headchar-lower
I-Body	sentence in Example (1), containing three proper	page=0 xpos=5 ypos=4 right-column centered left-indent aligned-line headchar-lower
I-Body	names. Google Translate produces the sentence in	page=0 xpos=5 ypos=4 right-column centered left-indent aligned-line headchar-lower
I-Body	Example (2) and leaves “Parthian” and “Sas-	page=0 xpos=5 ypos=5 right-column centered left-indent aligned-line headchar-capital tailchar-hiphen
I-Body	sanian” not translated. A good response might be a	page=0 xpos=5 ypos=5 right-column centered left-indent aligned-line headchar-lower
I-Body	translation like Example (3) with appropriate	page=0 xpos=5 ypos=5 right-column centered left-indent aligned-line headchar-lower
E-Body	transliterations (underlined).	page=0 xpos=5 ypos=5 right-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Listitem	(1) The cities of Mesopotamia prospered under	page=0 xpos=5 ypos=5 right-column full-justified longer-tail itemization
I-Listitem	Parthian and Sassanian rule.	page=0 xpos=5 ypos=6 right-column left-indent right-indent indented-line shorter-tail headchar-capital tailchar-period
B-Listitem	(2) 城市繁榮下 parthian 達米亞、sassanian 統	page=0 xpos=5 ypos=6 right-column full-justified font-largest hanged-line longer-tail itemization
I-Listitem	治。	page=0 xpos=5 ypos=6 right-column left-indent right-indent font-largest indented-line shorter-tail tailchar-period
B-Listitem	(3) 美索不達米亞 <sup>3</sup> 城市在巴底亞 4 和薩珊 5 統治下	page=0 xpos=5 ypos=6 right-column full-justified font-largest hanged-line longer-tail itemization
I-Listitem	繁榮起來。	page=0 xpos=5 ypos=6 right-column left-indent right-indent font-largest indented-line shorter-tail tailchar-period above-line-space
B-Body	These transliterations can be more effectively	page=0 xpos=5 ypos=7 right-column left-indent hanged-line longer-tail line-space headchar-capital
I-Body	retrieved from mixed-code Web pages by extend-	page=0 xpos=5 ypos=7 right-column centered left-indent hanged-line headchar-lower tailchar-hiphen
I-Body	ing each of the proper names into a query. Intui-	page=0 xpos=5 ypos=7 right-column centered left-indent aligned-line headchar-lower tailchar-hiphen
I-Body	tively, by requiring one of likely transliteration	page=0 xpos=5 ypos=7 right-column centered left-indent aligned-line headchar-lower
I-Body	morphemes (e.g., “巴”(Ba) or “帕”(Pa) for names	page=0 xpos=5 ypos=7 right-column centered left-indent aligned-line headchar-lower above-line-space
I-Body	beginning with the prefix “par-”), we can bias the	page=0 xpos=5 ypos=8 right-column centered left-indent aligned-line line-space headchar-lower
I-Body	search engine towards retrieving the correct trans-	page=0 xpos=5 ypos=8 right-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-hiphen above-blank-line above-double-space above-line-space
B-Footnote	<sup>3</sup> 美索不達米亞(Meisuobudamiya) <sub>is</sub> the transliteration of	page=0 xpos=5 ypos=8 right-column left-indent right-indent font-largest aligned-line shorter-tail line-blank-line line-double-space line-space headchar-super
I-Footnote	“Mesopotamia.”	page=0 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line shorter-tail
B-Footnote	<sup>4</sup> 巴底亞(Badiya) is the transliteration of “Parthian.”	page=0 xpos=5 ypos=9 right-column left-indent right-indent aligned-line longer-tail headchar-super
B-Footnote	<sup>5</sup> 薩珊(Sashan) <sub>is</sub> the transliteration of “Sassanian.”	page=0 xpos=5 ypos=9 right-column left-indent right-indent font-largest aligned-line headchar-super column-bottom above-double-space above-line-space
Page	996	page=0 xpos=4 ypos=9 single-column left-indent right-indent column-top line-double-space line-space numeric-only
B-Footer	Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational	page=0 xpos=0 ypos=9 single-column centered left-indent right-indent font-smallest hanged-line longer-tail year headchar-capital
I-Footer	Natural Language Learning, pp. 996–1004, Prague, June 2007.  2007 c Association for Computational Linguistics	page=0 xpos=0 ypos=9 single-column centered left-indent right-indent font-smallest indented-line shorter-tail year headchar-capital page-bottom
Figure	__Figure 1__	page=1 xpos=-1 ypos=-7 single-column left-over right-indent box page-top figure-area
B-Caption	Figure 1. An example of TermMine search for transliterations of the name “Parthian”	page=1 xpos=1 ypos=0 single-column centered left-indent right-indent font-smallest indented-line shorter-tail string-figure headchar-capital column-bottom above-double-space above-line-space
I-Body	literations (e.g., “ 巴 底 亞 ”(Badiya) and “ 帕 提	page=1 xpos=0 ypos=0 left-column full-justified font-largest column-top line-double-space line-space headchar-lower
I-Body	亞”(Patiya)) in snippets of many top-ranked docu-	page=1 xpos=0 ypos=0 left-column full-justified font-largest aligned-line tailchar-hiphen above-line-space
E-Body	ments.	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail line-space headchar-lower tailchar-period
B-Body	This approach to terminology translation by	page=1 xpos=0 ypos=1 left-column left-indent indented-line longer-tail headchar-capital
I-Body	searching is a strategy increasingly adopted by	page=1 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower
I-Body	human translators. Quah (2006) described a mod-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ern day translator would search for the translation	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	of a difficult technical term such as “異方性導電	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
